camera,timestamp,x,y,zone
CAM 1,2.8361666666666667,1864,485,Entrance
CAM 1,2.8361666666666667,63,456,Entrance
CAM 1,2.8361666666666667,1594,489,Entrance
CAM 1,2.8361666666666667,1453,429,Entrance
CAM 1,2.8361666666666667,1521,387,Entrance
CAM 1,2.8361666666666667,1474,366,Entrance
CAM 1,2.8361666666666667,280,347,Entrance
CAM 1,2.8361666666666667,1226,345,Entrance
CAM 1,2.8361666666666667,515,333,Entrance
CAM 1,2.8361666666666667,624,340,Entrance
CAM 1,2.8361666666666667,405,324,Entrance
CAM 1,2.8361666666666667,1639,347,Entrance
CAM 1,2.8361666666666667,1836,340,Entrance
CAM 1,2.8361666666666667,907,319,Entrance
CAM 1,2.8361666666666667,1448,324,Entrance
CAM 1,2.8361666666666667,1229,291,Entrance
CAM 1,2.8361666666666667,1678,273,Entrance
CAM 1,2.8361666666666667,1740,176,Entrance
CAM 1,2.8361666666666667,1226,166,Entrance
CAM 1,2.8361666666666667,1822,86,Entrance
CAM 1,2.8361666666666667,1240,18,Entrance
CAM 1,3.003,1875,1055,Entrance
CAM 1,3.003,1907,999,Entrance
CAM 1,3.003,1663,1001,Entrance
CAM 1,3.003,1825,983,Entrance
CAM 1,3.003,447,989,Entrance
CAM 1,3.003,1596,845,Entrance
CAM 1,3.003,10,828,Entrance
CAM 1,3.003,1512,832,Entrance
CAM 1,3.003,73,822,Entrance
CAM 1,3.003,1851,822,Entrance
CAM 1,3.003,447,823,Entrance
CAM 1,3.003,1321,795,Entrance
CAM 1,3.003,445,690,Entrance
CAM 1,3.003,549,684,Entrance
CAM 1,3.003,1872,673,Entrance
CAM 1,3.003,1668,669,Entrance
CAM 1,3.003,649,673,Entrance
CAM 1,3.003,31,657,Entrance
CAM 1,3.003,1885,639,Entrance
CAM 1,3.003,280,655,Entrance
CAM 1,3.003,1292,645,Entrance
CAM 1,3.003,1582,551,Entrance
CAM 1,3.003,766,520,Entrance
CAM 1,3.003,1252,509,Entrance
CAM 1,3.003,1323,501,Entrance
CAM 1,3.003,1452,535,Entrance
CAM 1,3.003,958,486,Entrance
CAM 1,3.003,1704,476,Entrance
CAM 1,3.003,411,492,Entrance
